Comment,Designator,Footprint,LCSC
3k3,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C144562
100n,"C1,C13,C3,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711
2200pF,"C2,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1728
10k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
1k,"R2,R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
100k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C180850
470p,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28256
1n,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653
22u,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C602037
